sentence,word,label
Aaj ka din bohot busy tha,Aaj,URD
Aaj ka din bohot busy tha,ka,URD
Aaj ka din bohot busy tha,din,URD
Aaj ka din bohot busy tha,bohot,URD
Aaj ka din bohot busy tha,busy,ENG
Aaj ka din bohot busy tha,tha,URD
Yaar seriously I can not even right now,Yaar,URD
Yaar seriously I can not even right now,seriously,ENG
Yaar seriously I can not even right now,I,ENG
Yaar seriously I can not even right now,can,ENG
Yaar seriously I can not even right now,not,ENG
Yaar seriously I can not even right now,even,ENG
Yaar seriously I can not even right now,right,ENG
Yaar seriously I can not even right now,now,ENG
Bhai kal mera presentation hai still not prepared at all,Bhai,URD
Bhai kal mera presentation hai still not prepared at all,kal,URD
Bhai kal mera presentation hai still not prepared at all,mera,URD
Bhai kal mera presentation hai still not prepared at all,presentation,ENG
Bhai kal mera presentation hai still not prepared at all,hai,URD
Bhai kal mera presentation hai still not prepared at all,still,ENG
Bhai kal mera presentation hai still not prepared at all,not,ENG
Bhai kal mera presentation hai still not prepared at all,prepared,ENG
Bhai kal mera presentation hai still not prepared at all,at,ENG
Bhai kal mera presentation hai still not prepared at all,all,ENG
Khana kha liya I was literally waiting for you,Khana,URD
Khana kha liya I was literally waiting for you,kha,URD
Khana kha liya I was literally waiting for you,liya,URD
Khana kha liya I was literally waiting for you,I,ENG
Khana kha liya I was literally waiting for you,was,ENG
Khana kha liya I was literally waiting for you,literally,ENG
Khana kha liya I was literally waiting for you,waiting,ENG
Khana kha liya I was literally waiting for you,for,ENG
Khana kha liya I was literally waiting for you,you,ENG
Mujhe bilkul samajh nahi aa raha what to do next,Mujhe,URD
Mujhe bilkul samajh nahi aa raha what to do next,bilkul,URD
Mujhe bilkul samajh nahi aa raha what to do next,samajh,URD
Mujhe bilkul samajh nahi aa raha what to do next,nahi,URD
Mujhe bilkul samajh nahi aa raha what to do next,aa,URD
Mujhe bilkul samajh nahi aa raha what to do next,raha,URD
Mujhe bilkul samajh nahi aa raha what to do next,what,ENG
Mujhe bilkul samajh nahi aa raha what to do next,to,ENG
Mujhe bilkul samajh nahi aa raha what to do next,do,ENG
Mujhe bilkul samajh nahi aa raha what to do next,next,ENG
Yeh assignment tou bohot mushkil lag raha hai honestly,Yeh,URD
Yeh assignment tou bohot mushkil lag raha hai honestly,assignment,ENG
Yeh assignment tou bohot mushkil lag raha hai honestly,tou,URD
Yeh assignment tou bohot mushkil lag raha hai honestly,bohot,URD
Yeh assignment tou bohot mushkil lag raha hai honestly,mushkil,URD
Yeh assignment tou bohot mushkil lag raha hai honestly,lag,URD
Yeh assignment tou bohot mushkil lag raha hai honestly,raha,URD
Yeh assignment tou bohot mushkil lag raha hai honestly,hai,URD
Yeh assignment tou bohot mushkil lag raha hai honestly,honestly,ENG
I swear mera sar dard kar raha hai abhi,I,ENG
I swear mera sar dard kar raha hai abhi,swear,ENG
I swear mera sar dard kar raha hai abhi,mera,URD
I swear mera sar dard kar raha hai abhi,sar,URD
I swear mera sar dard kar raha hai abhi,dard,URD
I swear mera sar dard kar raha hai abhi,kar,URD
I swear mera sar dard kar raha hai abhi,raha,URD
I swear mera sar dard kar raha hai abhi,hai,URD
I swear mera sar dard kar raha hai abhi,abhi,URD
Chalo let's just finish this project aaj hi,Chalo,URD
Chalo let's just finish this project aaj hi,let's,ENG
Chalo let's just finish this project aaj hi,just,ENG
Chalo let's just finish this project aaj hi,finish,ENG
Chalo let's just finish this project aaj hi,this,ENG
Chalo let's just finish this project aaj hi,project,ENG
Chalo let's just finish this project aaj hi,aaj,URD
Chalo let's just finish this project aaj hi,hi,URD
Yaar itna kaam hai but I have zero motivation,Yaar,URD
Yaar itna kaam hai but I have zero motivation,itna,URD
Yaar itna kaam hai but I have zero motivation,kaam,URD
Yaar itna kaam hai but I have zero motivation,hai,URD
Yaar itna kaam hai but I have zero motivation,but,ENG
Yaar itna kaam hai but I have zero motivation,I,ENG
Yaar itna kaam hai but I have zero motivation,have,ENG
Yaar itna kaam hai but I have zero motivation,zero,ENG
Yaar itna kaam hai but I have zero motivation,motivation,ENG
Kal exam tha and I totally forgot about it,Kal,URD
Kal exam tha and I totally forgot about it,exam,ENG
Kal exam tha and I totally forgot about it,tha,URD
Kal exam tha and I totally forgot about it,and,ENG
Kal exam tha and I totally forgot about it,I,ENG
Kal exam tha and I totally forgot about it,totally,ENG
Kal exam tha and I totally forgot about it,forgot,ENG
Kal exam tha and I totally forgot about it,about,ENG
Kal exam tha and I totally forgot about it,it,ENG
Mera phone hang ho gaya again,Mera,URD
Mera phone hang ho gaya again,phone,MIX
Mera phone hang ho gaya again,hang,ENG
Mera phone hang ho gaya again,ho,URD
Mera phone hang ho gaya again,gaya,URD
Mera phone hang ho gaya again,again,ENG
Bas thori der mein aa jaunga wait kar lo,Bas,URD
Bas thori der mein aa jaunga wait kar lo,thori,URD
Bas thori der mein aa jaunga wait kar lo,der,URD
Bas thori der mein aa jaunga wait kar lo,mein,URD
Bas thori der mein aa jaunga wait kar lo,aa,URD
Bas thori der mein aa jaunga wait kar lo,jaunga,URD
Bas thori der mein aa jaunga wait kar lo,wait,ENG
Bas thori der mein aa jaunga wait kar lo,kar,URD
Bas thori der mein aa jaunga wait kar lo,lo,URD
Honestly mujhe kuch samajh nahi aa raha,Honestly,ENG
Honestly mujhe kuch samajh nahi aa raha,mujhe,URD
Honestly mujhe kuch samajh nahi aa raha,kuch,URD
Honestly mujhe kuch samajh nahi aa raha,samajh,URD
Honestly mujhe kuch samajh nahi aa raha,nahi,URD
Honestly mujhe kuch samajh nahi aa raha,aa,URD
Honestly mujhe kuch samajh nahi aa raha,raha,URD
Weekend pe hum log beach jaa rahe hain,Weekend,ENG
Weekend pe hum log beach jaa rahe hain,pe,URD
Weekend pe hum log beach jaa rahe hain,hum,URD
Weekend pe hum log beach jaa rahe hain,log,URD
Weekend pe hum log beach jaa rahe hain,beach,ENG
Weekend pe hum log beach jaa rahe hain,jaa,URD
Weekend pe hum log beach jaa rahe hain,rahe,URD
Weekend pe hum log beach jaa rahe hain,hain,URD
Mujhe laga tha ke tum time pe aao gay,Mujhe,URD
Mujhe laga tha ke tum time pe aao gay,laga,URD
